device,bin,W,L
sky130_fd_pr__nfet_05v0_nvt,0,10.0,2.0
sky130_fd_pr__nfet_05v0_nvt,1,10.0,4.0
sky130_fd_pr__nfet_05v0_nvt,2,10.0,0.9
sky130_fd_pr__nfet_05v0_nvt,3,1.0,25.0
sky130_fd_pr__nfet_05v0_nvt,4,1.0,2.0
sky130_fd_pr__nfet_05v0_nvt,5,1.0,4.0
sky130_fd_pr__nfet_05v0_nvt,6,1.0,8.0
sky130_fd_pr__nfet_05v0_nvt,7,1.0,0.9
sky130_fd_pr__nfet_05v0_nvt,8,0.42,1.0
sky130_fd_pr__nfet_05v0_nvt,9,0.42,0.9
sky130_fd_pr__nfet_05v0_nvt,10,0.7,0.9
