device,bin,W,L
sky130_fd_pr__special_nfet_pass_flash,0,0.45,0.15
sky130_fd_pr__special_nfet_pass_flash,1,0.35,0.15
sky130_fd_pr__special_nfet_pass,0,0.14,0.15
sky130_fd_pr__special_nfet_latch,0,0.21,0.15
sky130_fd_pr__special_pfet_pass,0,0.14,0.15
