device,bin,W,L
sky130_fd_pr__rf_nfet_g5v0d10v5_bM02,0,3.01,0.5
sky130_fd_pr__rf_nfet_g5v0d10v5_bM02,1,5.05,0.5
sky130_fd_pr__rf_nfet_g5v0d10v5_bM04,0,3.01,0.5
sky130_fd_pr__rf_nfet_g5v0d10v5_bM04,1,5.05,0.5
sky130_fd_pr__rf_nfet_g5v0d10v5_bM04,2,7.09,0.5
sky130_fd_pr__rf_nfet_g5v0d10v5_bM10,0,3.01,0.5
sky130_fd_pr__rf_nfet_g5v0d10v5_bM10,1,5.05,0.5
sky130_fd_pr__rf_nfet_g5v0d10v5_bM10,2,7.09,0.5
