sky130_fd_pr__rf_nfet_g5v0d10v5_bM04W3p00L0p50	DRAIN:? GATE:? SOURCE:? SUBSTRATE:?
Name	Formula	nd	ng	ns	nb	mname	w	l	m
M1	MOSFET	DRAIN	GATE	SOURCE	SUBSTRATE	model_use_only	3.01	0.5	1
M2	MOSFET	DRAIN	GATE	SOURCE	SUBSTRATE	model_use_only	3.01	0.5	1
M3	MOSFET	DRAIN	GATE	SOURCE	SUBSTRATE	model_use_only	3.01	0.5	1
M4	MOSFET	DRAIN	GATE	SOURCE	SUBSTRATE	model_use_only	3.01	0.5	1
M5	MOSFET	SUBSTRATE	SUBSTRATE	SOURCE	SUBSTRATE	model_use_only	3.01	0.5	1
M6	MOSFET	SUBSTRATE	SUBSTRATE	SOURCE	SUBSTRATE	model_use_only	3.01	0.5	1
