sky130_fd_pr__pfet_01v8_aM02W5p00L0p25	BULK:? DRAIN:? GATE:? SOURCE:?
Name	Formula	nd	ng	ns	nb	mname	w	l	m
M1	MOSFET	DRAIN	GATE	SOURCE	BULK	model_use_only	5.05	0.25	1
M2	MOSFET	DRAIN	GATE	SOURCE	BULK	model_use_only	5.05	0.25	1
