sky130_fd_pr__pfet_01v8_mcM04W3p00L0p15	DRAIN:? GATE:? SOURCE:? BULK:?
Name	Formula	nd	ng	ns	nb	mname	w	l	m
M1	MOSFET	DRAIN	GATE	SOURCE	BULK	model_use_only	3.01	0.15	1
M2	MOSFET	DRAIN	GATE	SOURCE	BULK	model_use_only	3.01	0.15	1
M3	MOSFET	DRAIN	GATE	SOURCE	BULK	model_use_only	3.01	0.15	1
M4	MOSFET	DRAIN	GATE	SOURCE	BULK	model_use_only	3.01	0.15	1
