sky130_fd_pr__rf_nfet_01v8_bM02W3p00L0p25	DRAIN:? GATE:? SOURCE:? SUBSTRATE:?
Name	Formula	nd	ng	ns	nb	mname	w	l	m
M1	MOSFET	DRAIN	GATE	SOURCE	SUBSTRATE	model_use_only	3.01	0.25	1
M2	MOSFET	DRAIN	GATE	SOURCE	SUBSTRATE	model_use_only	3.01	0.25	1
M3	MOSFET	SUBSTRATE	SUBSTRATE	SOURCE	SUBSTRATE	model_use_only	3.01	0.15	1
M4	MOSFET	SUBSTRATE	SUBSTRATE	SOURCE	SUBSTRATE	model_use_only	3.01	0.15	1
