A,B,OUT
-128,-128,16434
-128,-127,16304
-128,-126,16176
-128,-125,16048
-128,-124,15922
-128,-123,15792
-128,-122,15664
-128,-121,15536
-128,-120,15410
-128,-119,15280
-128,-118,15152
-128,-117,15024
-128,-116,14898
-128,-115,14768
-128,-114,14640
-128,-113,14520
-128,-112,14386
-128,-111,14256
-128,-110,14128
-128,-109,14000
-128,-108,13874
-128,-107,13744
-128,-106,13616
-128,-105,13496
-128,-104,13362
-128,-103,13240
-128,-102,13112
-128,-101,12984
-128,-100,12858
-128,-99,12728
-128,-98,12600
-128,-97,12472
-128,-96,12338
-128,-95,12208
-128,-94,12080
-128,-93,11952
-128,-92,11826
-128,-91,11696
-128,-90,11568
-128,-89,11448
-128,-88,11314
-128,-87,11192
-128,-86,11064
-128,-85,10936
-128,-84,10810
-128,-83,10680
-128,-82,10552
-128,-81,10424
-128,-80,10290
-128,-79,10168
-128,-78,10040
-128,-77,9912
-128,-76,9786
-128,-75,9656
-128,-74,9528
-128,-73,9400
-128,-72,9274
-128,-71,9144
-128,-70,9016
-128,-69,8888
-128,-68,8762
-128,-67,8632
-128,-66,8504
-128,-65,8376
-128,-64,8242
-128,-63,8120
-128,-62,7992
-128,-61,7864
-128,-60,7738
-128,-59,7608
-128,-58,7480
-128,-57,7352
-128,-56,7226
-128,-55,7096
-128,-54,6968
-128,-53,6840
-128,-52,6714
-128,-51,6584
-128,-50,6456
-128,-49,6328
-128,-48,6202
-128,-47,6072
-128,-46,5944
-128,-45,5816
-128,-44,5690
-128,-43,5560
-128,-42,5432
-128,-41,5304
-128,-40,5178
-128,-39,5048
-128,-38,4920
-128,-37,4792
-128,-36,4666
-128,-35,4536
-128,-34,4408
-128,-33,4280
-128,-32,4154
-128,-31,4024
-128,-30,3896
-128,-29,3768
-128,-28,3642
-128,-27,3512
-128,-26,3384
-128,-25,3256
-128,-24,3130
-128,-23,3000
-128,-22,2872
-128,-21,2744
-128,-20,2618
-128,-19,2488
-128,-18,2360
-128,-17,2232
-128,-16,2106
-128,-15,1976
-128,-14,1848
-128,-13,1720
-128,-12,1594
-128,-11,1464
-128,-10,1336
-128,-9,1208
-128,-8,1082
-128,-7,952
-128,-6,824
-128,-5,696
-128,-4,570
-128,-3,440
-128,-2,312
-128,-1,176
-128,0,178
-128,1,56
-128,2,-72
-128,3,-200
-128,4,-326
-128,5,-456
-128,6,-584
-128,7,-712
-128,8,-838
-128,9,-968
-128,10,-1096
-128,11,-1224
-128,12,-1350
-128,13,-1480
-128,14,-1608
-128,15,-1736
-128,16,-1862
-128,17,-1992
-128,18,-2120
-128,19,-2248
-128,20,-2374
-128,21,-2504
-128,22,-2632
-128,23,-2760
-128,24,-2886
-128,25,-3016
-128,26,-3144
-128,27,-3272
-128,28,-3398
-128,29,-3528
-128,30,-3656
-128,31,-3784
