device,bin,W,L
sky130_fd_pr__nfet_03v3_nvt,0,10.0,0.5
sky130_fd_pr__nfet_03v3_nvt,1,1.0,0.5
sky130_fd_pr__nfet_03v3_nvt,2,1.0,0.6
sky130_fd_pr__nfet_03v3_nvt,3,4.0,0.5
sky130_fd_pr__nfet_03v3_nvt,4,0.42,0.5
sky130_fd_pr__nfet_03v3_nvt,5,0.42,0.6
sky130_fd_pr__nfet_03v3_nvt,6,0.42,0.8
sky130_fd_pr__nfet_03v3_nvt,7,0.7,0.5
sky130_fd_pr__nfet_03v3_nvt,8,0.7,0.6
