device,bin,W,L
sky130_fd_pr__esd_pfet_g5v0d10v5,0,14.5,0.55
sky130_fd_pr__esd_pfet_g5v0d10v5,1,15.5,0.55
sky130_fd_pr__esd_pfet_g5v0d10v5,2,16.5,0.55
sky130_fd_pr__esd_pfet_g5v0d10v5,3,17.5,0.55
sky130_fd_pr__esd_pfet_g5v0d10v5,4,19.5,0.55
sky130_fd_pr__esd_pfet_g5v0d10v5,5,21.5,0.55
sky130_fd_pr__esd_pfet_g5v0d10v5,6,23.5,0.55
sky130_fd_pr__esd_pfet_g5v0d10v5,7,26.5,0.55
