sky130_fd_pr__nfet_01v8_aM02W5p00L0p18	DRAIN:? GATE:? SOURCE:? SUBSTRATE:?
Name	Formula	nd	ng	ns	nb	mname	w	l	m
M1	MOSFET	DRAIN	GATE	SOURCE	SUBSTRATE	model_use_only	5.05	0.18	1
M2	MOSFET	DRAIN	GATE	SOURCE	SUBSTRATE	model_use_only	5.05	0.18	1
