sky130_fd_pr__rf_pfet_01v8_lvt_aM02W5p00L0p35	BULK:? DRAIN:? GATE:? SOURCE:?
Name	Formula	nd	ng	ns	nb	mname	w	l	m
M1	MOSFET	DRAIN	GATE	SOURCE	BULK	model_use_only	5.05	0.35	1
M2	MOSFET	DRAIN	GATE	SOURCE	BULK	model_use_only	5.05	0.35	1
