device,bin,W,L
sky130_fd_bs_flash__special_sonosfet_original,0,0.45,0.22
sky130_fd_bs_flash__special_sonosfet_original,1,1.0,0.5
sky130_fd_bs_flash__special_sonosfet_original,2,0.35,0.15
