sky130_fd_pr__pfet_01v8_aM04W5p00L0p18	BULK:? DRAIN:? GATE:? SOURCE:?
Name	Formula	nd	ng	ns	nb	mname	w	l	m
M1	MOSFET	DRAIN	GATE	SOURCE	BULK	model_use_only	5.05	0.18	1
M2	MOSFET	DRAIN	GATE	SOURCE	BULK	model_use_only	5.05	0.18	1
M3	MOSFET	DRAIN	GATE	SOURCE	BULK	model_use_only	5.05	0.18	1
M4	MOSFET	DRAIN	GATE	SOURCE	BULK	model_use_only	5.05	0.18	1
