sky130_fd_pr__rf_pfet_01v8_aF04W1p68L0p15	BULK:? DRAIN:? GATE:? SOURCE:?
Name	Formula	nd	ng	ns	nb	mname	w	l	m
M1	MOSFET	DRAIN	GATE	SOURCE	BULK	model_use_only	1.68	0.15	1
M2	MOSFET	DRAIN	GATE	SOURCE	BULK	model_use_only	1.68	0.15	1
M3	MOSFET	DRAIN	GATE	SOURCE	BULK	model_use_only	1.68	0.15	1
M4	MOSFET	DRAIN	GATE	SOURCE	BULK	model_use_only	1.68	0.15	1
