sky130_fd_pr__rf_pfet_01v8_bM02W5p00L0p18	BULK:? DRAIN:? GATE:? SOURCE:?
Name	Formula	nd	ng	ns	nb	mname	w	l	m
M1	MOSFET	DRAIN	GATE	SOURCE	BULK	model_use_only	5.05	0.18	1
M2	MOSFET	DRAIN	GATE	SOURCE	BULK	model_use_only	5.05	0.18	1
M3	MOSFET	BULK	BULK	SOURCE	BULK	model_use_only	5.05	0.15	1
M4	MOSFET	BULK	BULK	SOURCE	BULK	model_use_only	5.05	0.15	1
