 isweep, gm, id, cgg, cgs, cgd, cds, css, cdd, gds, vth, vdsat, vgs, vds, rds, wt, ft, gm_id
2e-08,5.02556428e-07,2.01387517e-08,4.38437432e-16, 2.00000000e-08,2e-08,2e-08, 2.00000000e-08 -3.43773040e-19,2.75895248e-08,0.769469527,0.0431927861,0.493714296,0.493714291,36245640.6,1146244350.0,182430454.0,24.9546961,
2.5e-08,6.21836883e-07,2.50613287e-08,4.44366712e-16, 2.50000000e-08,2.5e-08,2.5e-08, 2.50000000e-08 -3.52435761e-19,3.3857856e-08,0.76946824,0.0432248814,0.502046525,0.502046517,29535242.9,1399377740.0,222717884.0,24.8126064,
3e-08,7.41048167e-07,3.0019616e-08,4.49472145e-16, 3.00000000e-08,3e-08,3e-08, 3.00000000e-08 -3.59259245e-19,4.00907115e-08,0.769467171,0.0432568849,0.508965057,0.508965049,24943433.6,1648707660.0,262399973.0,24.6854646,
3.5e-08,8.60204098e-07,3.50108508e-08,4.53973287e-16, 3.50000000e-08,3.5e-08,3.5e-08, 3.50000000e-08 -3.64815095e-19,4.62969227e-08,0.769466256,0.0432888269,0.51489051,0.5148905,21599707.8,1894834170.0,301572225.0,24.5696428,
4e-08,9.78703374e-07,4.00070092e-08,4.57990323e-16, 4.00000000e-08,4e-08,4e-08, 4.00000000e-08 -3.69426192e-19,5.24508458e-08,0.769465458,0.0433205637,0.5200542,0.520054188,19065469.5,2136952080.0,340106487.0,24.4632977,
4.5e-08,1.09652e-06,4.50044442e-08,4.61622419e-16, 4.50000000e-08,4.5e-08,4.5e-08, 4.50000000e-08 -3.73324322e-19,5.85553151e-08,0.769464751,0.0433521007,0.524630588,0.524630575,17077869.0,2375361240.0,378050483.0,24.3647049,
5e-08,1.2136981e-06,5.00028891e-08,4.64941947e-16, 5.00000000e-08,5e-08,5e-08, 5.00000000e-08 -3.76669135e-19,6.46157087e-08,0.769464116,0.0433834585,0.52874213,0.528742116,15476112.9,2610429330.0,415462731.0,24.2725594,
5.5e-08,1.33027014e-06,5.50019205e-08,4.68001988e-16, 5.50000000e-08,5.5e-08,5.5e-08, 5.50000000e-08 -3.79573359e-19,7.06360522e-08,0.769463539,0.0434146522,0.532476296,0.53247628,14157076.6,2842445490.0,452389249.0,24.1858853,
6e-08,1.44626648e-06,6.00012818e-08,4.70842866e-16, 6.00000000e-08,6e-08,6e-08, 6.00000000e-08 -3.82119543e-19,7.6619735e-08,0.769463011,0.0434456946,0.535897944,0.535897926,13051467.7,3071654220.0,488868953.0,24.1039263,
6.5e-08,1.56171564e-06,6.50008435e-08,4.73495987e-16, 6.50000000e-08,6.5e-08,6.5e-08, 6.50000000e-08 -3.84369826e-19,8.25696714e-08,0.769462523,0.043476597,0.539056512,0.539056493,12110984.4,3298265850.0,524935314.0,24.0260827,
7e-08,1.67664365e-06,7.00005329e-08,4.75986303e-16, 7.00000000e-08,7e-08,7e-08, 7.00000000e-08 -3.86372060e-19,8.84883619e-08,0.76946207,0.0435073691,0.541990534,0.541990513,11300921.1,3522461980.0,560617235.0,23.9518698,
