,n_embd,n_head,block_size,n_layer,mlp_expansion_factor,n_cols,MAC NUM,Wmem Depth,Cache Depth,best_val_loss,perplexity,Power (W),Area (um^2),Clock Period (ns) Entered,Clock_Min_Period,F_max (MHz),Clock Slack (ns),TTFT (ms),TPOT (ms),Throughput (tokens/s),Energy per token (mJ/token),EDP (mJ * ms),EADP (mJ * ms * um^2)
15,512.0,4.0,256.0,33.0,2.0,32,4,2048,512,4.000126,54.60502983346672,3.3024,194773619.6608,4,4.047,247.09661477637758,-0.26,223.67240191999997,331.40591616000006,3.0174476412099063,1094.4348975267842,2.4479488227488483e-07,47.679585295118734
16,512.0,4.0,256.0,33.0,2.0,2,32,4096,1024,4.000126,54.60502983346672,0.952,181208459.5968,5,10.488,95.34706331045004,-6.04,1011.2512819199999,910.8349747200001,1.0978937214256734,867.1148959334399,8.768710500846184e-07,158.89645225086215
17,512.0,4.0,256.0,33.0,2.0,4,16,4096,1024,4.000126,54.60502983346672,1.0496,182019987.9168,5,6.137,162.94606485253382,-1.46,593.5719492266667,532.9704652799999,1.8762765765540923,559.405800357888,3.3204759132713514e-07,60.43929856116768
18,512.0,4.0,256.0,33.0,2.0,4,32,2048,512,4.000126,54.60502983346672,1.3072,183938147.584,5,6.069,164.77179106936893,-1.388,322.66493952,496.98604032000003,2.012128951058904,649.660151906304,2.096225536234016e-07,38.557584205316196
19,512.0,4.0,256.0,33.0,2.0,8,8,4096,1024,4.000126,54.60502983346672,1.2416,183555860.9408,5,4.33,230.94688221709006,0.442,421.39975680000003,376.04075520000004,2.659286224090638,466.8922016563201,1.9674826022978985e-07,36.11429629508364
20,512.0,4.0,256.0,33.0,2.0,8,16,2048,512,4.000126,54.60502983346672,1.4976,185568751.4624,5,4.07,245.7002457002457,0.716,217.60846506666667,333.2893696,3.0003957257927496,499.13415991296,1.0861581840099937e-07,20.155701809740226
21,512.0,4.0,256.0,33.0,2.0,16,4,4096,1024,4.000126,54.60502983346672,1.5936,186485270.4768,5,4.106,243.54603019970776,0.678,404.5331933866666,356.58737664,2.804361751172056,568.257643413504,2.2987907915644641e-07,42.86906225344762
22,512.0,4.0,256.0,33.0,2.0,16,8,2048,512,4.000126,54.60502983346672,1.8816,188645422.2336,5,4.156,240.61597690086623,0.626,224.70328320000002,340.33184768,2.93830861500878,640.3684045946881,1.438928829699724e-07,27.14473366428043
23,512.0,4.0,256.0,33.0,2.0,32,4,2048,512,4.000126,54.60502983346672,2.6496,194773619.6608,5,4.193,238.49272597185788,0.587,231.74163114666666,343.36175104,2.912380301449199,909.771295555584,2.1083188400246716e-07,41.06448918706644
24,512.0,4.0,256.0,33.0,2.0,2,32,4096,1024,4.000126,54.60502983346672,0.7984,181208459.5968,6,10.678,93.65049634763064,-5.24,1029.57105152,927.33560832,1.0783582459554657,740.3847496826879,7.622787052601771e-07,138.13134996363982
25,512.0,4.0,256.0,33.0,2.0,4,16,4096,1024,4.000126,54.60502983346672,0.8784,182019987.9168,6,6.327,158.052789631737,-0.66,611.9487897599998,549.47109888,1.8199319346155307,482.655413256192,2.953603960132393e-07,53.76149571343108
26,512.0,4.0,256.0,33.0,2.0,4,32,2048,512,4.000126,54.60502983346672,1.0944,183938147.584,6,6.259,159.76993129892952,-0.588,332.76649472,512.54500352,1.9510481872466034,560.9292518522881,1.86658460924798e-07,34.33361153338779
27,512.0,4.0,256.0,33.0,2.0,8,8,4096,1024,4.000126,54.60502983346672,1.0368,183555860.9408,6,4.52,221.23893805309737,1.242,439.8907391999999,392.5413888,2.5475020686531997,406.98691190783995,1.79029773523865e-07,32.86196421320948
28,512.0,4.0,256.0,33.0,2.0,8,16,2048,512,4.000126,54.60502983346672,1.2544,185568751.4624,6,4.26,234.7417840375587,1.516,227.76709119999998,348.8483327999999,2.866575259149412,437.5953486643199,9.966981968792193e-08,18.495603997970207
