Trial Number,Iteration Number,Clock Period (ns) Entered,Clock_Min_Period,Clock Slack (ns),Clock_Worst_Slack,Wmem Depth,Cache Depth,MAC NUM,Total Period (ns),ABC Max Fanout,ABC Map Effort,SYNTH_HIERARCHICAL,Power (W),Area (um^2),Total Cells,Sequential Cells,Combinational Cells,Sequential_Internal,Sequential_Switching,Sequential_Leakage,Sequential_Total,Combinational_Internal,Combinational_Switching,Combinational_Leakage,Combinational_Total,Num_Wires,Num_Wire_Bits,Num_Public_Wires,Num_Public_Wire_Bits,Num_Cells,Chip_Area,Num_Memories,Num_Memory_Bits,Num_Processes,Total Time(s)
1016,20,3,4.693,-1.94,-1.94,3072,1536,16,2.7529999999999997,40,0.5,False,0.102,10261705.7072,35581,3345,32236,0.0469,9.3e-06,4.08e-08,0.0469,5.68e-05,0.000123,5.87e-08,0.00018,36314,37376,4745,5807,35581,10261705.7072,0,0,0,43
1017,21,4,4.883,-1.14,-1.14,3072,1536,16,3.7430000000000003,40,0.5,False,0.077,10261705.7072,35581,3345,32236,0.0351,6.98e-06,4.08e-08,0.0351,4.26e-05,9.22e-05,5.87e-08,0.000135,36314,37376,4745,5807,35581,10261705.7072,0,0,0,43
1018,22,5,5.073,-0.34,-0.34,3072,1536,16,4.7330000000000005,40,0.5,False,0.0619,10261705.7072,35581,3345,32236,0.0281,5.58e-06,4.08e-08,0.0281,3.41e-05,7.37e-05,5.87e-08,0.000108,36314,37376,4745,5807,35581,10261705.7072,0,0,0,44
1019,23,6,5.263,0.46,0.46,3072,1536,16,5.723,40,0.5,False,0.0518,10261705.7072,35581,3345,32236,0.0234,4.65e-06,4.08e-08,0.0234,2.84e-05,6.15e-05,5.87e-08,8.99e-05,36314,37376,4745,5807,35581,10261705.7072,0,0,0,43
102,24,5,3.929,0.864,0.864,2048,128,8,4.793,40,0.5,False,0.0287,2564283.6192,24149,2444,21705,0.0206,3.91e-06,3.11e-08,0.0206,2.62e-05,5.35e-05,4.14e-08,7.98e-05,24268,24946,2947,3625,24149,2564283.6192,0,0,0,30
1020,25,3,7.894,-5.31,-5.31,3072,1536,32,2.5840000000000005,40,0.5,False,0.184,20421128.3168,55183,5289,49894,0.0737,1.41e-05,6.24e-08,0.0738,7.84e-05,0.000176,8.53e-08,0.000255,56648,58478,7971,9801,55183,20421128.3168,0,0,0,69
1021,26,4,8.084,-4.51,-4.51,3072,1536,32,3.574,40,0.5,False,0.139,20421128.3168,55183,5289,49894,0.0553,1.06e-05,6.24e-08,0.0553,5.88e-05,0.000132,8.53e-08,0.000191,56648,58478,7971,9801,55183,20421128.3168,0,0,0,68
1022,27,5,8.274,-3.71,-3.71,3072,1536,32,4.563999999999999,40,0.5,False,0.112,20421128.3168,55183,5289,49894,0.0442,8.45e-06,6.24e-08,0.0443,4.71e-05,0.000106,8.53e-08,0.000153,56648,58478,7971,9801,55183,20421128.3168,0,0,0,69
1023,28,6,8.464,-2.91,-2.91,3072,1536,32,5.554,40,0.5,False,0.0936,20421128.3168,55183,5289,49894,0.0369,7.04e-06,6.24e-08,0.0369,3.92e-05,8.82e-05,8.53e-08,0.000127,56648,58478,7971,9801,55183,20421128.3168,0,0,0,68
1024,29,3,4.096,-1.311,-1.311,3584,1536,4,2.785,40,0.5,False,0.0413,2914329.0776,19306,1827,17479,0.0258,4.97e-06,2.38e-08,0.0258,3.91e-05,7.96e-05,3.61e-08,0.000119,19521,20007,2298,2784,19306,2914329.0776,0,0,0,27
