sky130_fd_pr__nfet_g5v0d10v5_aM04W5p00L0p50	DRAIN:? GATE:? SOURCE:? SUBSTRATE:?
Name	Formula	nd	ng	ns	nb	mname	w	l	m
M1	MOSFET	DRAIN	GATE	SOURCE	SUBSTRATE	model_use_only	5.05	0.5	1
M2	MOSFET	DRAIN	GATE	SOURCE	SUBSTRATE	model_use_only	5.05	0.5	1
M3	MOSFET	DRAIN	GATE	SOURCE	SUBSTRATE	model_use_only	5.05	0.5	1
M4	MOSFET	DRAIN	GATE	SOURCE	SUBSTRATE	model_use_only	5.05	0.5	1
