 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.69595750e-09  0.00000000e+00  2.69595750e-09  0.00000000e+00  2.69595750e-09  0.00000000e+00  2.69595750e-09  0.00000000e+00  2.69595750e-09  0.00000000e+00  1.79999999e+00 
 5.00000000e-13  1.80000000e-02  5.00000000e-13  1.80000000e+00  5.00000000e-13  0.00000000e+00  5.00000000e-13  0.00000000e+00  5.00000000e-13  2.80224615e-09  5.00000000e-13  2.81504001e-09  5.00000000e-13  2.79916651e-09  5.00000000e-13  2.79078019e-09  5.00000000e-13  2.78126977e-09  5.00000000e-13  1.79999999e+00 
 1.00000000e-12  3.60000000e-02  1.00000000e-12  1.80000000e+00  1.00000000e-12  0.00000000e+00  1.00000000e-12  0.00000000e+00  1.00000000e-12  2.81950654e-09  1.00000000e-12  2.83533247e-09  1.00000000e-12  2.81678403e-09  1.00000000e-12  2.80746801e-09  1.00000000e-12  2.79398854e-09  1.00000000e-12  1.79999999e+00 
 2.00000000e-12  7.20000000e-02  2.00000000e-12  1.80000000e+00  2.00000000e-12  0.00000000e+00  2.00000000e-12  0.00000000e+00  2.00000000e-12  2.78117565e-09  2.00000000e-12  2.79455989e-09  2.00000000e-12  2.78092682e-09  2.00000000e-12  2.77565146e-09  2.00000000e-12  2.76105680e-09  2.00000000e-12  1.79999999e+00 
 4.00000000e-12  1.44000000e-01  4.00000000e-12  1.80000000e+00  4.00000000e-12  0.00000000e+00  4.00000000e-12  0.00000000e+00  4.00000000e-12  2.60522533e-09  4.00000000e-12  2.59765867e-09  4.00000000e-12  2.60961833e-09  4.00000000e-12  2.61849262e-09  4.00000000e-12  2.61994929e-09  4.00000000e-12  1.79999999e+00 
 8.00000000e-12  2.88000000e-01  8.00000000e-12  1.80000000e+00  8.00000000e-12  0.00000000e+00  8.00000000e-12  0.00000000e+00  8.00000000e-12  2.58912667e-09  8.00000000e-12  2.57359761e-09  8.00000000e-12  2.58931238e-09  8.00000000e-12  2.59627278e-09  8.00000000e-12  2.61435179e-09  8.00000000e-12  1.79999999e+00 
 1.60000000e-11  5.76000000e-01  1.60000000e-11  1.80000000e+00  1.60000000e-11  0.00000000e+00  1.60000000e-11  0.00000000e+00  1.60000000e-11  2.79379021e-09  1.60000000e-11  2.80086085e-09  1.60000000e-11  2.79030915e-09  1.60000000e-11  2.78101356e-09  1.60000000e-11  2.77694862e-09  1.60000000e-11  1.79999999e+00 
 3.20000000e-11  1.15200000e+00  3.20000000e-11  1.80000000e+00  3.20000000e-11  0.00000000e+00  3.20000000e-11  0.00000000e+00  3.20000000e-11  2.65485167e-09  3.20000000e-11  2.65725206e-09  3.20000000e-11  2.65833705e-09  3.20000000e-11  2.66388003e-09  3.20000000e-11  2.65725512e-09  3.20000000e-11  1.79999999e+00 
 5.00000000e-11  1.80000000e+00  5.00000000e-11  1.80000000e+00  5.00000000e-11  0.00000000e+00  5.00000000e-11  0.00000000e+00  5.00000000e-11  2.70002457e-09  5.00000000e-11  2.69453580e-09  5.00000000e-11  2.69775000e-09  5.00000000e-11  2.69592269e-09  5.00000000e-11  2.70446399e-09  5.00000000e-11  1.79999999e+00 
 5.32000000e-11  1.80000000e+00  5.32000000e-11  1.80000000e+00  5.32000000e-11  0.00000000e+00  5.32000000e-11  0.00000000e+00  5.32000000e-11  2.74059628e-09  5.32000000e-11  2.74375769e-09  5.32000000e-11  2.73907713e-09  5.32000000e-11  2.73529735e-09  5.32000000e-11  2.73348458e-09  5.32000000e-11  1.79999999e+00 
 5.96000000e-11  1.80000000e+00  5.96000000e-11  1.80000000e+00  5.96000000e-11  0.00000000e+00  5.96000000e-11  0.00000000e+00  5.96000000e-11  2.65394172e-09  5.96000000e-11  2.64898795e-09  5.96000000e-11  2.65537817e-09  5.96000000e-11  2.65888900e-09  5.96000000e-11  2.66209521e-09  5.96000000e-11  1.79999999e+00 
 7.24000000e-11  1.80000000e+00  7.24000000e-11  1.80000000e+00  7.24000000e-11  0.00000000e+00  7.24000000e-11  0.00000000e+00  7.24000000e-11  2.72641404e-09  7.24000000e-11  2.72899871e-09  7.24000000e-11  2.72500560e-09  7.24000000e-11  2.72205979e-09  7.24000000e-11  2.72154616e-09  7.24000000e-11  1.79999999e+00 
 9.80000000e-11  1.80000000e+00  9.80000000e-11  1.80000000e+00  9.80000000e-11  0.00000000e+00  9.80000000e-11  0.00000000e+00  9.80000000e-11  2.78064405e-09  9.80000000e-11  2.79414475e-09  9.80000000e-11  2.78226560e-09  9.80000000e-11  2.78081670e-09  9.80000000e-11  2.76004908e-09  9.80000000e-11  1.79999999e+00 
 1.42349483e-10  1.80000000e+00  1.42349483e-10  1.80000000e+00  1.42349483e-10  0.00000000e+00  1.42349483e-10  0.00000000e+00  1.42349483e-10  2.19015143e-09  1.42349483e-10  2.12304858e-09  1.42349483e-10  2.18666728e-09  1.42349483e-10  2.20197784e-09  1.42349483e-10  2.29891849e-09  1.42349483e-10  1.79999999e+00 
 1.91469555e-10  1.80000000e+00  1.91469555e-10  1.80000000e+00  1.91469555e-10  0.00000000e+00  1.91469555e-10  0.00000000e+00  1.91469555e-10  6.35077603e-09  1.91469555e-10  6.79612789e-09  1.91469555e-10  6.37015783e-09  1.91469555e-10  6.26566769e-09  1.91469555e-10  4.91986180e-09  1.91469555e-10  1.79999999e+00 
