 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.69595750e-09  0.00000000e+00  2.69595750e-09  0.00000000e+00  2.69595750e-09  0.00000000e+00  2.69595750e-09  0.00000000e+00  2.69595750e-09  0.00000000e+00  1.79999999e+00 
 5.00000000e-13  1.80000000e-02  5.00000000e-13  1.80000000e+00  5.00000000e-13  0.00000000e+00  5.00000000e-13  0.00000000e+00  5.00000000e-13  2.79043599e-09  5.00000000e-13  2.78203663e-09  5.00000000e-13  2.80789914e-09  5.00000000e-13  2.77569942e-09  5.00000000e-13  2.79359305e-09  5.00000000e-13  1.79999999e+00 
 1.00000000e-12  3.60000000e-02  1.00000000e-12  1.80000000e+00  1.00000000e-12  0.00000000e+00  1.00000000e-12  0.00000000e+00  1.00000000e-12  2.80599854e-09  1.00000000e-12  2.79741200e-09  1.00000000e-12  2.82734003e-09  1.00000000e-12  2.78827295e-09  1.00000000e-12  2.81042706e-09  1.00000000e-12  1.79999999e+00 
 2.00000000e-12  7.20000000e-02  2.00000000e-12  1.80000000e+00  2.00000000e-12  0.00000000e+00  2.00000000e-12  0.00000000e+00  2.00000000e-12  2.77264500e-09  2.00000000e-12  2.76921350e-09  2.00000000e-12  2.78970957e-09  2.00000000e-12  2.75872467e-09  2.00000000e-12  2.77707007e-09  2.00000000e-12  1.79999999e+00 
 4.00000000e-12  1.44000000e-01  4.00000000e-12  1.80000000e+00  4.00000000e-12  0.00000000e+00  4.00000000e-12  0.00000000e+00  4.00000000e-12  2.61720107e-09  4.00000000e-12  2.62721261e-09  4.00000000e-12  2.60478134e-09  4.00000000e-12  2.62675112e-09  4.00000000e-12  2.61546662e-09  4.00000000e-12  1.79999999e+00 
 8.00000000e-12  2.88000000e-01  8.00000000e-12  1.80000000e+00  8.00000000e-12  0.00000000e+00  8.00000000e-12  0.00000000e+00  8.00000000e-12  2.60079991e-09  8.00000000e-12  2.60502742e-09  8.00000000e-12  2.58037053e-09  8.00000000e-12  2.61708405e-09  8.00000000e-12  2.59448857e-09  8.00000000e-12  1.79999999e+00 
 1.60000000e-11  5.76000000e-01  1.60000000e-11  1.80000000e+00  1.60000000e-11  0.00000000e+00  1.60000000e-11  0.00000000e+00  1.60000000e-11  2.77951540e-09  1.60000000e-11  2.77072676e-09  1.60000000e-11  2.79257417e-09  1.60000000e-11  2.77116863e-09  1.60000000e-11  2.78366960e-09  1.60000000e-11  1.79999999e+00 
 3.20000000e-11  1.15200000e+00  3.20000000e-11  1.80000000e+00  3.20000000e-11  0.00000000e+00  3.20000000e-11  0.00000000e+00  3.20000000e-11  2.66278635e-09  3.20000000e-11  2.66956063e-09  3.20000000e-11  2.66183732e-09  3.20000000e-11  2.66173603e-09  3.20000000e-11  2.66224366e-09  3.20000000e-11  1.79999999e+00 
 5.00000000e-11  1.80000000e+00  5.00000000e-11  1.80000000e+00  5.00000000e-11  0.00000000e+00  5.00000000e-11  0.00000000e+00  5.00000000e-11  2.69832721e-09  5.00000000e-11  2.69452591e-09  5.00000000e-11  2.69349808e-09  5.00000000e-11  2.70186869e-09  5.00000000e-11  2.69652746e-09  5.00000000e-11  1.79999999e+00 
 5.32000000e-11  1.80000000e+00  5.32000000e-11  1.80000000e+00  5.32000000e-11  0.00000000e+00  5.32000000e-11  0.00000000e+00  5.32000000e-11  2.73511944e-09  5.32000000e-11  2.73114303e-09  5.32000000e-11  2.74059636e-09  5.32000000e-11  2.73085568e-09  5.32000000e-11  2.73641168e-09  5.32000000e-11  1.79999999e+00 
