 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  2.69595750e-09  0.00000000e+00  2.69595750e-09 
 1.00000000e-13  0.00000000e+00  1.00000000e-13  0.00000000e+00  1.00000000e-13  1.80000000e+00  1.00000000e-13  2.69595732e-09  1.00000000e-13  2.69595715e-09 
 2.00000000e-13  0.00000000e+00  2.00000000e-13  0.00000000e+00  2.00000000e-13  1.80000000e+00  2.00000000e-13  2.69595712e-09  2.00000000e-13  2.69595682e-09 
 4.00000000e-13  0.00000000e+00  4.00000000e-13  0.00000000e+00  4.00000000e-13  1.80000000e+00  4.00000000e-13  2.69595710e-09  4.00000000e-13  2.69595629e-09 
 8.00000000e-13  0.00000000e+00  8.00000000e-13  0.00000000e+00  8.00000000e-13  1.80000000e+00  8.00000000e-13  2.69595699e-09  8.00000000e-13  2.69595651e-09 
 1.60000000e-12  0.00000000e+00  1.60000000e-12  0.00000000e+00  1.60000000e-12  1.80000000e+00  1.60000000e-12  2.69595715e-09  1.60000000e-12  2.69595760e-09 
 3.20000000e-12  0.00000000e+00  3.20000000e-12  0.00000000e+00  3.20000000e-12  1.80000000e+00  3.20000000e-12  2.69595721e-09  3.20000000e-12  2.69595810e-09 
 6.40000000e-12  0.00000000e+00  6.40000000e-12  0.00000000e+00  6.40000000e-12  1.80000000e+00  6.40000000e-12  2.69595690e-09  6.40000000e-12  2.69595754e-09 
 1.28000000e-11  0.00000000e+00  1.28000000e-11  0.00000000e+00  1.28000000e-11  1.80000000e+00  1.28000000e-11  2.69595717e-09  1.28000000e-11  2.69595733e-09 
 2.28000000e-11  0.00000000e+00  2.28000000e-11  0.00000000e+00  2.28000000e-11  1.80000000e+00  2.28000000e-11  2.69595758e-09  2.28000000e-11  2.69595746e-09 
 3.28000000e-11  0.00000000e+00  3.28000000e-11  0.00000000e+00  3.28000000e-11  1.80000000e+00  3.28000000e-11  2.69595750e-09  3.28000000e-11  2.69595764e-09 
 4.28000000e-11  0.00000000e+00  4.28000000e-11  0.00000000e+00  4.28000000e-11  1.80000000e+00  4.28000000e-11  2.69595749e-09  4.28000000e-11  2.69595753e-09 
