device,bin,W,L
sky130_fd_pr__esd_nfet_01v8,0,20.35,0.165
sky130_fd_pr__esd_nfet_01v8,1,40.31,0.165
sky130_fd_pr__esd_nfet_01v8,2,5.4,0.18
