A,B,OUT
-127,-72,9151
-127,-71,9023
-127,-70,8895
-127,-69,8767
-127,-68,8639
-127,-67,8511
-127,-66,8383
-127,-65,8255
-127,-64,8183
-127,-63,8055
-127,-62,7927
-127,-61,7799
-127,-60,7671
-127,-59,7543
-127,-58,7415
-127,-57,7287
-127,-56,7159
-127,-55,7031
-127,-54,6903
-127,-53,6775
-127,-52,6647
-127,-51,6519
-127,-50,6391
-127,-49,6263
-127,-48,6135
-127,-47,6007
-127,-46,5879
-127,-45,5751
-127,-44,5623
-127,-43,5495
-127,-42,5367
-127,-41,5239
-127,-40,5111
-127,-39,4983
-127,-38,4855
-127,-37,4727
-127,-36,4599
-127,-35,4471
-127,-34,4343
-127,-33,4215
-127,-32,4095
-127,-31,3967
-127,-30,3839
-127,-29,3711
-127,-28,3583
-127,-27,3455
-127,-26,3327
-127,-25,3199
-127,-24,3071
-127,-23,2943
-127,-22,2815
-127,-21,2687
-127,-20,2559
-127,-19,2431
-127,-18,2303
-127,-17,2175
-127,-16,2047
-127,-15,1919
-127,-14,1791
-127,-13,1663
-127,-12,1535
-127,-11,1407
-127,-10,1279
-127,-9,1151
-127,-8,1023
-127,-7,895
-127,-6,767
-127,-5,639
-127,-4,511
-127,-3,383
-127,-2,255
-127,-1,127
-127,0,55
-127,1,-73
-127,2,-201
-127,3,-329
-127,4,-457
-127,5,-585
-127,6,-713
-127,7,-841
-127,8,-969
-127,9,-1097
-127,10,-1225
-127,11,-1353
-127,12,-1481
-127,13,-1609
-127,14,-1737
-127,15,-1865
-127,16,-1993
-127,17,-2121
-127,18,-2249
-127,19,-2377
-127,20,-2505
-127,21,-2633
-127,22,-2761
-127,23,-2889
-127,24,-3017
-127,25,-3145
-127,26,-3273
-127,27,-3401
-127,28,-3529
-127,29,-3657
-127,30,-3785
-127,31,-3913
-127,32,-4033
-127,33,-4161
-127,34,-4289
-127,35,-4417
-127,36,-4545
-127,37,-4673
-127,38,-4801
-127,39,-4929
-127,40,-5057
-127,41,-5185
-127,42,-5313
-127,43,-5441
-127,44,-5569
-127,45,-5697
-127,46,-5825
-127,47,-5953
-127,48,-6081
-127,49,-6209
-127,50,-6337
-127,51,-6465
-127,52,-6593
-127,53,-6721
-127,54,-6849
-127,55,-6977
-127,56,-7105
-127,57,-7233
-127,58,-7361
-127,59,-7489
-127,60,-7617
-127,61,-7745
-127,62,-7873
-127,63,-8001
-127,64,-8073
-127,65,-8201
-127,66,-8329
-127,67,-8457
-127,68,-8585
-127,69,-8713
-127,70,-8841
-127,71,-8969
-127,72,-9097
-127,73,-9225
-127,74,-9353
-127,75,-9481
-127,76,-9609
-127,77,-9737
-127,78,-9865
-127,79,-9993
-127,80,-10121
-127,81,-10249
-127,82,-10377
-127,83,-10505
-127,84,-10633
-127,85,-10761
-127,86,-10889
-127,87,-11017
-127,88,-11145
-127,89,-11273
-127,90,-11401
-127,91,-11529
-127,92,-11657
-127,93,-11785
-127,94,-11913
-127,95,-12041
-127,96,-12161
-127,97,-12289
-127,98,-12417
-127,99,-12545
-127,100,-12673
-127,101,-12801
-127,102,-12929
-127,103,-13057
-127,104,-13185
-127,105,-13313
-127,106,-13441
-127,107,-13569
-127,108,-13697
-127,109,-13825
-127,110,-13953
-127,111,-14081
-127,112,-14209
-127,113,-14337
-127,114,-14465
-127,115,-14593
-127,116,-14721
-127,117,-14849
-127,118,-14977
-127,119,-15105
-127,120,-15233
-127,121,-15361
-127,122,-15489
-127,123,-15617
-127,124,-15745
-127,125,-15873
-127,126,-16001
-127,127,-16129
-126,-128,16118
-126,-127,15990
-126,-126,15862
-126,-125,15734
-126,-124,15606
-126,-123,15478
-126,-122,15350
-126,-121,15222
-126,-120,15094
-126,-119,14966
-126,-118,14838
-126,-117,14710
-126,-116,14582
-126,-115,14454
-126,-114,14326
-126,-113,14198
-126,-112,14134
-126,-111,14006
-126,-110,13878
-126,-109,13750
-126,-108,13622
-126,-107,13494
-126,-106,13366
-126,-105,13238
-126,-104,13110
-126,-103,12982
-126,-102,12854
-126,-101,12726
-126,-100,12598
-126,-99,12470
-126,-98,12342
-126,-97,12214
-126,-96,12094
-126,-95,11966
-126,-94,11838
-126,-93,11710
-126,-92,11582
-126,-91,11454
-126,-90,11326
-126,-89,11198
-126,-88,11070
-126,-87,10942
-126,-86,10814
-126,-85,10686
-126,-84,10558
-126,-83,10430
-126,-82,10302
-126,-81,10174
-126,-80,10110
-126,-79,9982
-126,-78,9854
-126,-77,9726
-126,-76,9598
-126,-75,9470
-126,-74,9342
-126,-73,9214
-126,-72,9086
-126,-71,8958
-126,-70,8830
-126,-69,8702
-126,-68,8574
-126,-67,8446
-126,-66,8318
-126,-65,8190
-126,-64,8054
-126,-63,7926
-126,-62,7798
-126,-61,7670
-126,-60,7542
-126,-59,7414
-126,-58,7286
-126,-57,7158
-126,-56,7030
-126,-55,6902
-126,-54,6774
-126,-53,6646
-126,-52,6518
-126,-51,6390
-126,-50,6262
-126,-49,6134
-126,-48,6070
-126,-47,5942
-126,-46,5814
-126,-45,5686
-126,-44,5558
-126,-43,5430
-126,-42,5302
-126,-41,5174
-126,-40,5046
-126,-39,4918
-126,-38,4790
-126,-37,4662
-126,-36,4534
-126,-35,4406
-126,-34,4278
-126,-33,4150
-126,-32,4030
-126,-31,3902
-126,-30,3774
-126,-29,3646
-126,-28,3518
-126,-27,3390
-126,-26,3262
-126,-25,3134
-126,-24,3006
-126,-23,2878
-126,-22,2750
-126,-21,2622
-126,-20,2494
-126,-19,2366
-126,-18,2238
-126,-17,2110
-126,-16,2046
-126,-15,1918
-126,-14,1790
-126,-13,1662
-126,-12,1534
-126,-11,1406
-126,-10,1278
-126,-9,1150
-126,-8,1022
-126,-7,894
-126,-6,766
-126,-5,638
-126,-4,510
-126,-3,382
-126,-2,254
-126,-1,126
-126,0,-10
-126,1,-138
-126,2,-266
-126,3,-394
-126,4,-522
-126,5,-650
-126,6,-778
-126,7,-906
-126,8,-1034
-126,9,-1162
-126,10,-1290
-126,11,-1418
-126,12,-1546
-126,13,-1674
-126,14,-1802
-126,15,-1930
-126,16,-1994
-126,17,-2122
-126,18,-2250
-126,19,-2378
-126,20,-2506
-126,21,-2634
-126,22,-2762
-126,23,-2890
-126,24,-3018
-126,25,-3146
-126,26,-3274
-126,27,-3402
-126,28,-3530
-126,29,-3658
-126,30,-3786
-126,31,-3914
-126,32,-4034
-126,33,-4162
-126,34,-4290
-126,35,-4418
-126,36,-4546
-126,37,-4674
-126,38,-4802
-126,39,-4930
-126,40,-5058
-126,41,-5186
-126,42,-5314
-126,43,-5442
-126,44,-5570
-126,45,-5698
